x,"y
"
2019-4-4,168898
2019-4-5,169920
2019-4-6,170310
2019-4-7,171244
2019-4-8,171801
2019-4-9,172414
2019-4-10,173717
2019-4-11,172765
2019-4-12,173950
2019-4-13,174976
2019-4-14,175040
2019-4-15,176769
2019-4-16,178453
2019-4-17,180011
2019-4-18,182294
2019-4-19,183928
2019-4-20,184472
2019-4-21,186035
2019-4-22,187002
2019-4-23,186602
2019-4-24,186289
2019-4-25,186340
2019-4-26,187166
2019-4-27,187740
2019-4-28,189523
2019-4-29,189295
2019-4-30,189884
2019-5-1,189411
2019-5-2,190626
2019-5-3,192027
2019-5-4,192929
2019-5-5,193008
2019-5-6,193117
2019-5-7,194622
2019-5-8,196555
2019-5-9,196771
2019-5-10,188061
2019-5-11,184745
2019-5-12,183512
2019-5-13,181104
2019-5-14,177591
2019-5-15,174046
2019-5-16,173817
2019-5-17,171735
2019-5-18,172954
2019-5-19,172507
2019-5-20,166656
2019-5-21,165782
2019-5-22,165746
2019-5-23,166308
2019-5-24,165419
2019-5-25,164290
2019-5-26,162210
2019-5-27,162713
2019-5-28,162271
2019-5-29,160614
2019-5-30,159002
2019-5-31,156275
2019-6-1,154599
2019-6-2,151485
2019-6-3,149782
2019-6-4,147693
2019-6-5,147089
2019-6-6,146757
2019-6-8,144896
2019-6-8,143865
2019-6-9,144155
2019-6-10,144880
2019-6-11,142997
2019-6-12,141457
2019-6-13,142056
2019-6-14,142353
2019-6-15,143121
2019-6-16,143988
2019-6-17,143259
2019-6-18,143008
2019-6-19,141343
2019-6-20,139122
2019-6-21,138542
2019-6-22,136880
2019-6-23,133125
2019-6-24,131212
2019-6-25,128361
2019-6-26,126309
2019-6-27,125460
2019-6-28,123345
2019-6-29,122171
2019-6-30,121882
2019-7-1,120281
2019-7-2,119526
2019-7-3,118392
2019-7-4,117300
2019-7-5,116722
2019-7-6,115828
2019-7-7,114897
2019-7-8,115032
2019-7-9,114459
2019-7-10,114095
2019-7-11,114338
2019-7-12,114164
2019-7-13,114513
2019-7-14,114630
2019-7-15,114176
2019-7-16,114697
2019-7-17,115186
2019-7-18,114880
2019-7-19,114045
2019-7-20,114950
2019-7-21,115312
2019-7-22,114586
2019-7-23,114570
2019-7-24,115259
2019-7-25,116227
2019-7-26,116585
2019-7-27,116860
2019-7-28,116945
2019-7-29,117552
2019-7-30,118157
2019-7-31,117878
2019-8-1,117869
2019-8-2,118677
2019-8-3,118945
2019-8-4,119612
2019-8-5,120518
2019-8-6,121646
2019-8-7,122684
2019-8-8,123190
2019-8-9,123541
2019-8-10,123696
2019-8-11,122873
2019-8-12,123944
2019-8-13,122330
2019-8-14,122516
2019-8-15,123529
2019-8-16,124574
2019-8-17,119689
2019-8-18,115567
2019-8-19,114858
2019-8-20,114660
2019-8-21,112068
2019-8-22,110278
2019-8-23,110746
2019-8-24,112575
2019-8-25,113263
