x,"y
"
2019-04-04 00:02:29,100271225
2019-04-05 00:02:15,100706266
2019-04-06 00:01:43,101814529
2019-04-07 00:02:04,103502111
2019-04-08 00:02:15,105086990
2019-04-09 00:02:09,107589196
2019-04-10 00:02:21,108111516
2019-04-11 00:03:49,108668033
2019-04-12 00:03:39,109197070
2019-04-13 00:01:27,109781454
2019-04-14 00:06:00,110367329
2019-04-15 00:01:59,112031300
2019-04-16 00:02:31,112697931
2019-04-17 00:02:43,115461477
2019-04-18 00:15:44,115975144
2019-04-19 00:02:36,116521167
2019-04-20 00:02:39,116859886
2019-04-21 00:02:40,117228279
2019-04-22 00:02:29,117570698
2019-04-23 00:05:08,118103142
2019-04-24 00:05:21,118639836
2019-04-25 00:05:51,119104182
2019-04-26 00:02:59,119605773
2019-04-27 00:02:42,120027312
2019-04-28 00:03:37,128900596
2019-04-29 00:04:59,129241171
2019-04-30 00:03:19,129662815
2019-05-01 00:03:29,130213770
2019-05-02 00:02:42,130758289
2019-05-03 00:01:38,131315746
2019-05-04 00:03:54,131793840
2019-05-05 00:03:31,132319694
2019-05-06 00:02:10,132543889
2019-05-07 00:04:47,132903797
2019-05-08 00:04:57,133399228
2019-05-09 00:03:56,133940471
2019-05-10 00:02:25,134028915
2019-05-11 00:04:53,134307583
2019-05-12 00:02:51,134703480
2019-05-13 00:04:22,135114383
2019-05-14 00:02:26,135419933
2019-05-15 00:03:41,135698232
2019-05-16 00:03:24,136206238
2019-05-17 00:05:35,136571111
2019-05-18 00:03:55,137105209
2019-05-19 00:03:57,137514006
2019-05-20 00:03:24,137902579
2019-05-21 00:03:57,138181547
2019-05-22 00:05:35,138550455
2019-05-23 00:09:07,138887607
2019-05-24 00:24:36,139223152
2019-05-25 00:29:55,139482998
2019-05-26 00:49:40,139369148
2019-05-27 00:29:28,138079235
2019-05-28 00:24:38,137378044
2019-05-29 00:27:36,137027283
2019-05-30 00:16:46,136921342
2019-05-31 00:26:34,136757161
2019-06-01 00:27:43,136623195
2019-06-02 00:24:27,130536196
2019-06-03 00:42:36,130414758
2019-06-04 00:28:28,130157702
2019-06-05 00:30:57,130176615
2019-06-06 00:19:26,130201549
2019-06-07 00:15:56,130163034
2019-06-08 01:04:05,130227150
2019-06-09 00:50:43,130300295
2019-06-10 00:56:59,130476523
2019-06-11 00:19:24,130569351
2019-06-12 00:04:54,130557792
2019-06-13 00:06:50,130678684
2019-06-14 00:07:03,130838693
2019-06-15 00:03:28,130859176
2019-06-16 00:03:30,130904814
2019-06-17 00:42:31,130587800
2019-06-18 00:45:44,128453820
2019-06-19 00:28:01,126811102
2019-06-20 00:04:52,125265070
2019-06-21 00:06:55,123731314
2019-06-22 00:02:49,122638473
2019-06-23 00:01:58,121364001
2019-06-24 00:01:59,120505777
2019-06-25 00:03:13,119093533
2019-06-26 00:02:32,118378207
2019-06-27 00:02:25,117475650
2019-06-28 00:02:06,116530098
2019-06-29 00:02:08,115906145
2019-06-30 00:02:01,115159621
2019-07-01 00:03:28,114435761
2019-07-02 00:01:59,113911682
2019-07-03 00:02:08,113355242
2019-07-04 00:02:49,112634479
2019-07-05 00:01:56,111965322
