x,"y
"
2019-4-10,89221845
2019-4-11,89456191
2019-4-12,90486696
2019-4-13,90332207
2019-4-14,90668979
2019-4-15,91980320
2019-4-16,92599319
2019-4-17,93038203
2019-4-18,94379571
2019-4-19,94876067
2019-4-20,94590039
2019-4-21,95172757
2019-4-22,95809156
2019-4-23,94870428
2019-4-24,94399337
2019-4-25,96335139
2019-4-26,96502501
2019-4-27,97067862
2019-4-28,98063112
2019-4-29,97765369
2019-4-30,97157418
2019-5-1,96708397
2019-5-2,97252370
2019-5-3,97804476
2019-5-4,97406462
2019-5-5,97683254
2019-5-6,98237190
2019-5-7,99470448
2019-5-8,100431744
2019-5-9,100637295
2019-5-10,99885023
2019-5-11,100722140
2019-5-12,102050498
2019-5-13,102541643
2019-5-14,102994421
2019-5-15,103624909
2019-5-16,104446267
2019-5-17,105337295
2019-5-18,107427862
2019-5-19,108565723
2019-5-20,110282869
2019-5-21,111331356
2019-5-22,113368074
2019-5-23,114402744
2019-5-24,115300575
2019-5-25,114407879
2019-5-26,113581419
2019-5-27,114905790
2019-5-28,116561196
2019-5-29,118202079
2019-5-30,119343787
2019-5-31,122545175
2019-6-1,125380434
2019-6-2,109539185
2019-6-3,110893178
2019-6-4,110770241
2019-6-5,112779610
2019-6-6,114588745
2019-6-8,117566824
2019-6-8,116730050
2019-6-9,117612646
2019-6-10,119077919
2019-6-11,120204376
2019-6-12,121295077
2019-6-13,122588354
2019-6-14,123954076
2019-6-15,125280649
2019-6-16,126468618
2019-6-17,126756882
2019-6-18,125526341
2019-6-19,125560457
2019-6-20,125020956
2019-6-21,127111677
2019-6-22,129019191
2019-6-23,128809761
2019-6-24,129831135
2019-6-25,130554199
2019-6-26,132060051
2019-6-27,134966052
2019-6-28,135608316
2019-6-29,137076808
2019-6-30,138727199
2019-7-1,140534184
2019-7-2,142909596
2019-7-3,142598626
2019-7-4,143450029
2019-7-5,145672342
2019-7-6,145631862
2019-7-7,145289080
2019-7-8,145809078
2019-7-9,146609146
2019-7-10,146225588
2019-7-11,147008555
2019-7-12,146199570
2019-7-13,147082072
2019-7-14,147694029
2019-7-15,148183276
2019-7-16,149147996
2019-7-17,150019266
2019-7-18,150385612
2019-7-19,150955700
2019-7-20,151715118
2019-7-21,151058638
2019-7-22,150485657
2019-7-23,151203296
2019-7-24,152719471
2019-7-25,154643346
2019-7-26,153370111
2019-7-27,153832526
2019-7-28,155580418
2019-7-29,158181979
2019-7-30,158073131
2019-7-31,157753140
2019-8-1,157608264
2019-8-2,157085309
2019-8-3,156865329
2019-8-4,156624412
2019-8-5,157286077
2019-8-6,159662601
2019-8-7,159655481
2019-8-8,157414173
2019-8-9,157166195
2019-8-10,157752662
2019-8-11,157259641
2019-8-12,159199854
2019-8-13,159056513
2019-8-14,157528405
2019-8-15,159212275
2019-8-16,159443061
2019-8-17,153097405
2019-8-18,146535859
2019-8-19,144640951
2019-8-20,143365549
2019-8-21,140581666
2019-8-22,137761363
2019-8-23,138091488
2019-8-24,139479087
2019-8-25,141231883
2019-8-26,142428431
2019-8-27,142085764
2019-8-28,143887865
2019-8-29,143620449
2019-8-30,143218288
2019-8-31,141519949
2019-9-1,139188557
2019-9-2,138692811
2019-9-3,137639227
2019-9-4,137091528
2019-9-5,137108284
2019-9-6,136679894
2019-9-7,134982417
2019-9-8,132346469
2019-9-9,131588236
2019-9-10,131531776
2019-9-11,131298015
2019-9-12,130931140
2019-9-13,130813509
2019-9-14,130779572
2019-9-15,130342088
2019-9-16,131909860
2019-9-17,131396956
2019-9-18,131355821
2019-9-19,131386103
2019-9-20,130537563
2019-9-21,128529027
2019-9-22,128646207
2019-9-23,129985005
2019-9-24,130282627
2019-9-25,129808213
2019-9-26,130064217
2019-9-27,130595326
