x,"y
"
2019-04-04 00:02:29,12853174
2019-04-05 00:02:15,12853042
2019-04-06 00:01:43,13542289
2019-04-07 00:02:04,14311661
2019-04-08 00:02:15,15383610
2019-04-09 00:02:09,15369543
2019-04-10 00:02:21,15381733
2019-04-11 00:03:49,15384922
2019-04-12 00:03:39,15389605
2019-04-13 00:01:27,15391883
2019-04-14 00:06:00,15393254
2019-04-15 00:01:59,15809718
2019-04-16 00:02:31,15825444
2019-04-17 00:02:43,17150577
2019-04-18 00:15:44,17158156
2019-04-19 00:02:36,17196796
2019-04-20 00:02:39,17213159
2019-04-21 00:02:40,17173557
2019-04-22 00:02:29,17167761
2019-04-23 00:05:08,17170622
2019-04-24 00:05:21,17267066
2019-04-25 00:05:51,16732678
2019-04-26 00:02:59,16731541
2019-04-27 00:02:42,16741699
2019-04-28 00:03:37,24243367
2019-04-29 00:04:59,24269956
2019-04-30 00:03:19,24260107
2019-05-01 00:03:29,24251333
2019-05-02 00:02:42,24226435
2019-05-03 00:01:38,24206120
2019-05-04 00:03:54,24185110
2019-05-05 00:03:31,24138046
2019-05-06 00:02:10,24121450
2019-05-07 00:04:47,24102293
2019-05-08 00:04:57,24074974
2019-05-09 00:03:56,24075591
2019-05-10 00:02:25,23612565
2019-05-11 00:04:53,23405381
2019-05-12 00:02:51,23287076
2019-05-13 00:04:22,23202191
2019-05-14 00:02:26,23045290
2019-05-15 00:03:41,22917625
2019-05-16 00:03:24,22781048
2019-05-17 00:05:35,22605033
2019-05-18 00:03:55,22530471
2019-05-19 00:03:57,22399303
2019-05-20 00:03:24,22286122
2019-05-21 00:03:57,22209841
2019-05-22 00:05:35,22163262
2019-05-23 00:09:07,22021299
2019-05-24 00:24:36,21966397
2019-05-25 00:29:55,21946262
2019-05-26 00:49:40,21865693
2019-05-27 00:29:28,21801602
2019-05-28 00:24:38,21759692
2019-05-29 00:27:36,21754481
2019-05-30 00:16:46,21741695
2019-05-31 00:26:34,21671151
2019-06-01 00:27:43,21645174
2019-06-02 00:24:27,18582576
2019-06-03 00:42:36,18536194
2019-06-04 00:28:28,18488022
2019-06-05 00:30:57,18443255
2019-06-06 00:19:26,18445511
2019-06-07 00:15:56,18390778
2019-06-08 01:04:05,18383860
2019-06-09 00:50:43,18363274
2019-06-10 00:56:59,18333909
2019-06-11 00:19:24,18317277
2019-06-12 00:04:54,18231370
2019-06-13 00:06:50,18177555
2019-06-14 00:07:03,18157631
2019-06-15 00:03:28,18099179
2019-06-16 00:03:30,18200021
2019-06-17 00:42:31,18048488
2019-06-18 00:45:44,17978125
2019-06-19 00:28:01,17917458
2019-06-20 00:04:52,17700891
2019-06-21 00:06:55,17733531
2019-06-22 00:02:49,17727674
2019-06-23 00:01:58,17650145
2019-06-24 00:01:59,17642799
2019-06-25 00:03:13,17612557
2019-06-26 00:02:32,17766037
2019-06-27 00:02:25,17747826
2019-06-28 00:02:06,17761041
2019-06-29 00:02:08,17812654
2019-06-30 00:02:01,17841483
2019-07-01 00:03:28,17835063
2019-07-02 00:01:59,17845963
2019-07-03 00:02:08,17863265
2019-07-04 00:02:49,17873287
2019-07-05 00:01:56,17895623
2019-07-06 00:02:35,17898659
2019-07-07 00:02:33,17921247
2019-07-08 00:02:16,17950399
2019-07-09 00:01:57,17953750
2019-07-10 00:02:03,17963888
2019-07-11 00:02:05,17979451
2019-07-12 00:01:59,17991432
2019-07-13 00:02:37,18040547
2019-07-14 00:01:52,18079602
2019-07-15 00:02:28,18065573
2019-07-16 00:02:22,18071250
2019-07-17 00:02:38,18080696
2019-07-18 00:01:59,18102716
2019-07-19 00:02:42,18049854
2019-07-20 00:02:20,18055399
2019-07-21 00:01:49,18059827
2019-07-22 00:01:58,18042671
2019-07-23 00:02:11,18062267
2019-07-24 00:02:31,18061864
2019-07-25 00:03:00,18047516
2019-07-26 00:02:18,18052226
2019-07-27 00:02:01,18043628
2019-07-28 00:01:50,18014083
2019-07-29 00:01:53,18009887
2019-07-30 00:02:23,17967099
2019-07-31 00:03:07,17982603
2019-08-01 00:03:39,18029083
2019-08-02 00:03:13,18033220
2019-08-03 00:05:21,18045320
2019-08-04 00:03:08,18056942
2019-08-05 00:02:32,18059769
2019-08-06 00:03:03,18047890
2019-08-07 00:02:45,18076014
2019-08-08 00:03:01,18083520
2019-08-09 00:02:32,18064082
2019-08-10 00:06:10,18055116
2019-08-11 00:02:23,18001994
2019-08-12 00:06:35,17980081
2019-08-13 00:03:29,17900714
2019-08-14 00:02:21,17909026
2019-08-15 00:02:43,17891964
2019-08-16 00:03:44,17906175
2019-08-17 00:02:35,17920391
2019-08-18 00:02:26,17898537
2019-08-19 00:11:55,17879358
2019-08-20 00:03:13,17855029
2019-08-21 00:05:04,17836953
2019-08-22 00:05:57,17851044
2019-08-23 00:15:24,17802330
2019-08-24 00:02:32,17808392
2019-08-25 00:03:31,17752918
2019-08-26 00:02:47,17829819
2019-08-27 00:03:34,17814687
2019-08-28 00:03:56,17815077
2019-08-29 00:04:24,17698784
2019-08-30 00:03:57,17651126
2019-08-31 00:03:12,17631513
2019-09-01 00:10:02,17627785
2019-09-02 00:03:26,17548858
2019-09-03 00:04:03,17520306
2019-09-04 00:04:13,17482175
2019-09-05 00:04:56,17453127
2019-09-06 00:05:14,17441771
2019-09-07 00:04:38,17433839
2019-09-08 00:04:23,17514194
2019-09-09 00:04:15,17564275
2019-09-10 00:03:31,17564711
2019-09-11 00:03:39,17580778
2019-09-12 00:04:26,17589580
2019-09-13 00:07:49,17570715
2019-09-14 00:07:02,17484879
2019-09-15 00:04:36,17465560
2019-09-16 00:04:40,17476149
2019-09-17 00:05:30,17449343
2019-09-18 00:03:35,17436813
2019-09-19 00:03:22,17379176
2019-09-20 00:07:42,17397994
2019-09-21 00:05:28,17316459
2019-09-22 00:03:40,17354112
2019-09-23 00:05:46,17361478
2019-09-24 00:06:32,17373306
2019-09-25 00:07:20,17311100
2019-09-26 00:02:48,17315014
2019-09-27 00:07:09,17265946
2019-09-28 00:07:15,17191737
2019-09-29 00:08:42,17242543
2019-09-30 00:07:20,17224244
2019-10-01 00:04:23,16999469
2019-10-02 00:11:03,16986279
2019-10-03 00:09:17,17036812
2019-10-04 00:09:30,17072167
2019-10-05 00:06:48,17094038
2019-10-06 00:03:28,17123107
2019-10-07 00:10:06,17145738
2019-10-08 00:04:59,17249638
2019-10-09 00:10:07,17205081
2019-10-10 00:06:14,17224457
2019-10-11 00:05:00,17247276
2019-10-12 00:05:37,17298009
2019-10-13 00:08:05,17344471
2019-10-14 00:02:26,17362917
2019-10-15 00:04:44,17404839
2019-10-16 00:04:46,17445928
2019-10-17 00:06:07,17478166
2019-10-18 00:03:13,17441930
2019-10-19 00:03:33,17499832
2019-10-20 00:04:20,17511545
2019-10-21 00:04:30,17571730
2019-10-22 00:05:47,17611773
2019-10-23 00:02:12,17623137
2019-10-24 00:02:48,17643178
2019-10-25 00:03:07,17625671
2019-10-26 00:02:43,17651521
2019-10-27 00:03:44,17705993
2019-10-28 00:02:45,17753702
2019-10-29 00:03:04,17759142
2019-10-30 00:02:49,17772116
2019-10-31 00:03:06,17790650
2019-11-01 00:06:06,17810426
2019-11-02 00:03:09,17802956
2019-11-03 00:03:04,17853943
2019-11-04 00:05:57,17908961
2019-11-05 00:02:17,17761521
2019-11-06 00:02:27,17771740
2019-11-07 00:05:33,17796392
2019-11-08 00:03:12,17823195
2019-11-09 00:03:08,17820145
2019-11-10 00:02:50,17863907
2019-11-11 00:03:48,17896735
2019-11-12 00:03:00,17926122
2019-11-13 00:02:47,17958301
2019-11-14 00:03:08,18004475
2019-11-15 00:02:42,18035574
2019-11-16 00:02:43,18049066
2019-11-17 00:05:08,18054558
2019-11-18 00:04:05,18016550
2019-11-19 00:03:49,18051756
2019-11-20 00:02:31,18074283
2019-11-21 00:02:19,18128763
2019-11-22 00:03:22,18140013
2019-11-23 00:05:14,18151942
2019-11-24 00:02:17,18104356
2019-11-25 00:02:12,18110166
2019-11-26 00:03:40,18128878
2019-11-27 00:02:45,18138915
2019-11-28 00:04:09,18183206
2019-11-29 00:03:49,18138430
2019-11-30 00:02:48,18143149
2019-12-01 00:02:32,18173766
2019-12-02 00:02:33,18213075
2019-12-03 00:03:40,18236229
2019-12-04 00:03:15,18216655
2019-12-05 00:02:26,18221702
2019-12-06 00:02:22,18274393
2019-12-07 00:02:14,18315009
2019-12-08 00:14:09,18337659
2019-12-09 00:02:26,18352712
2019-12-10 00:15:12,18377115
2019-12-11 00:01:31,18422032
2019-12-12 00:01:41,18466342
2019-12-13 00:01:16,18487275
2019-12-14 00:01:52,18527479
2019-12-15 00:01:29,18599829
2019-12-16 00:01:24,18642234
2019-12-17 00:01:21,18678510
2019-12-18 00:01:34,18691254
2019-12-19 00:01:18,18714094
2019-12-20 00:01:16,18660908
2019-12-21 00:01:18,18671635
2019-12-22 00:01:23,18664182
2019-12-23 00:01:14,18667412
2019-12-24 00:01:21,18693732
2019-12-25 00:01:15,18693724
2019-12-26 00:01:21,18701887
2019-12-27 00:01:19,18744483
2019-12-28 00:01:21,18775291
2019-12-29 00:01:21,18806486
2019-12-30 00:01:31,18819754
2019-12-31 00:01:29,18801025
2020-01-01 00:01:45,18764516
2020-01-02 00:01:29,18797414
2020-01-03 00:01:35,18815372
2020-01-04 00:01:28,18820699
2020-01-05 00:01:36,18839134
2020-01-06 00:01:26,18808020
2020-01-07 00:01:41,18839413
2020-01-08 00:01:33,18874745
2020-01-09 00:01:36,18914273
2020-01-10 00:01:44,18950609
2020-01-11 00:01:58,19014686
2020-01-12 00:02:25,18995539
2020-01-13 00:02:28,18991891
2020-01-14 00:02:34,19034119
2020-01-15 00:02:57,19051424
2020-01-16 00:02:59,19073741
2020-01-17 00:02:46,19130459
2020-01-18 00:02:41,19189543
2020-01-19 00:02:24,19241209
2020-01-20 00:02:15,19272961
2020-01-21 00:02:06,19290370
2020-01-22 00:02:03,19312286
2020-01-23 00:01:59,19381098
2020-01-24 00:02:07,19484033
2020-01-25 00:01:51,19526223
2020-01-26 00:02:00,19594542
2020-01-27 00:02:02,19561168
2020-01-28 00:02:11,19537790
2020-01-29 00:02:03,19564495
2020-01-30 00:02:03,19619436
2020-01-31 00:02:01,19649110
2020-02-01 00:01:44,19658877
2020-02-02 00:01:32,19393778
2020-02-03 00:01:49,19411523
2020-02-04 00:01:41,19433104
2020-02-05 00:01:31,19382804
2020-02-06 00:02:29,15325727
2020-02-07 00:01:43,15330961
2020-02-08 00:01:30,15315823
2020-02-09 00:01:35,15243783
2020-02-10 00:00:51,15214082
2020-02-11 00:00:54,15224354
2020-02-12 00:00:51,15165089
2020-02-13 00:00:53,15184462
2020-02-14 00:00:53,14781317
2020-02-15 00:00:46,14697652
2020-02-16 00:00:49,14552070
2020-02-17 00:00:45,14458434
2020-02-18 00:00:44,14337234
2020-02-19 00:00:45,14301682
2020-02-20 00:00:45,14156370
2020-02-21 00:00:43,14065657
2020-02-22 00:00:40,13904227
2020-02-23 00:00:49,13748745
2020-02-24 00:00:47,11476390
2020-02-25 00:00:48,11444170
2020-02-26 00:00:47,11379931
2020-02-27 00:00:48,11278557
2020-02-28 00:00:48,11237359
2020-02-29 00:00:43,11198338
2020-03-01 00:00:51,11155758
2020-03-02 00:00:50,10988496
2020-03-03 00:00:50,10947991
2020-03-04 00:00:53,10860512
2020-03-05 00:00:56,10755543
2020-03-06 00:00:51,10681453
2020-03-07 00:00:53,10618431
2020-03-08 00:00:52,10471985
2020-03-09 00:00:50,10367947
2020-03-10 00:00:52,10325530
2020-03-11 00:00:48,10262854
2020-03-12 00:00:54,10142304
2020-03-13 00:00:49,10303031
